Procsessing: (10,) Accuracy: 0.8913043478260869 Max: 0.8913043478260869
Procsessing: (20,) Accuracy: 0.782608695652174 Max: 0.8913043478260869
Procsessing: (30,) Accuracy: 0.7989130434782609 Max: 0.8913043478260869
Procsessing: (40,) Accuracy: 0.8097826086956522 Max: 0.8913043478260869
Procsessing: (50,) Accuracy: 0.8043478260869565 Max: 0.8913043478260869
Procsessing: (60,) Accuracy: 0.8206521739130435 Max: 0.8913043478260869
Procsessing: (70,) Accuracy: 0.7989130434782609 Max: 0.8913043478260869
Procsessing: (80,) Accuracy: 0.7771739130434783 Max: 0.8913043478260869
Procsessing: (10, 20) Accuracy: 0.7989130434782609 Max: 0.8913043478260869
Procsessing: (10, 30) Accuracy: 0.8206521739130435 Max: 0.8913043478260869
Procsessing: (10, 40) Accuracy: 0.7445652173913043 Max: 0.8913043478260869
Procsessing: (10, 50) Accuracy: 0.8260869565217391 Max: 0.8913043478260869
Procsessing: (10, 60) Accuracy: 0.8315217391304348 Max: 0.8913043478260869
Procsessing: (10, 70) Accuracy: 0.8097826086956522 Max: 0.8913043478260869
Procsessing: (10, 80) Accuracy: 0.8043478260869565 Max: 0.8913043478260869
Procsessing: (20, 10) Accuracy: 0.7880434782608695 Max: 0.8913043478260869
Procsessing: (20, 30) Accuracy: 0.8043478260869565 Max: 0.8913043478260869
Procsessing: (20, 40) Accuracy: 0.7934782608695652 Max: 0.8913043478260869
Procsessing: (20, 50) Accuracy: 0.7717391304347826 Max: 0.8913043478260869
Procsessing: (20, 60) Accuracy: 0.8478260869565217 Max: 0.8913043478260869
Procsessing: (20, 70) Accuracy: 0.8043478260869565 Max: 0.8913043478260869
Procsessing: (20, 80) Accuracy: 0.8043478260869565 Max: 0.8913043478260869
Procsessing: (30, 10) Accuracy: 0.8478260869565217 Max: 0.8913043478260869
Procsessing: (30, 20) Accuracy: 0.7934782608695652 Max: 0.8913043478260869
Procsessing: (30, 40) Accuracy: 0.8478260869565217 Max: 0.8913043478260869
Procsessing: (30, 50) Accuracy: 0.7934782608695652 Max: 0.8913043478260869
Procsessing: (30, 60) Accuracy: 0.8369565217391305 Max: 0.8913043478260869
Procsessing: (30, 70) Accuracy: 0.8532608695652174 Max: 0.8913043478260869
Procsessing: (30, 80) Accuracy: 0.782608695652174 Max: 0.8913043478260869
Procsessing: (40, 10) Accuracy: 0.7989130434782609 Max: 0.8913043478260869
Procsessing: (40, 20) Accuracy: 0.8260869565217391 Max: 0.8913043478260869
Procsessing: (40, 30) Accuracy: 0.8206521739130435 Max: 0.8913043478260869
Procsessing: (40, 50) Accuracy: 0.8097826086956522 Max: 0.8913043478260869
Procsessing: (40, 60) Accuracy: 0.7880434782608695 Max: 0.8913043478260869
Procsessing: (40, 70) Accuracy: 0.8315217391304348 Max: 0.8913043478260869
Procsessing: (40, 80) Accuracy: 0.8206521739130435 Max: 0.8913043478260869
Procsessing: (50, 10) Accuracy: 0.842391304347826 Max: 0.8913043478260869
Procsessing: (50, 20) Accuracy: 0.8152173913043478 Max: 0.8913043478260869
Procsessing: (50, 30) Accuracy: 0.8478260869565217 Max: 0.8913043478260869
Procsessing: (50, 40) Accuracy: 0.782608695652174 Max: 0.8913043478260869
Procsessing: (50, 60) Accuracy: 0.8478260869565217 Max: 0.8913043478260869
Procsessing: (50, 70) Accuracy: 0.8206521739130435 Max: 0.8913043478260869
Procsessing: (50, 80) Accuracy: 0.7989130434782609 Max: 0.8913043478260869
Procsessing: (60, 10) Accuracy: 0.8097826086956522 Max: 0.8913043478260869
Procsessing: (60, 20) Accuracy: 0.842391304347826 Max: 0.8913043478260869
Procsessing: (60, 30) Accuracy: 0.7880434782608695 Max: 0.8913043478260869
Procsessing: (60, 40) Accuracy: 0.7880434782608695 Max: 0.8913043478260869
Procsessing: (60, 50) Accuracy: 0.842391304347826 Max: 0.8913043478260869
Procsessing: (60, 70) Accuracy: 0.8043478260869565 Max: 0.8913043478260869
Procsessing: (60, 80) Accuracy: 0.8097826086956522 Max: 0.8913043478260869
Procsessing: (70, 10) Accuracy: 0.8206521739130435 Max: 0.8913043478260869
Procsessing: (70, 20) Accuracy: 0.8315217391304348 Max: 0.8913043478260869
Procsessing: (70, 30) Accuracy: 0.8206521739130435 Max: 0.8913043478260869
Procsessing: (70, 40) Accuracy: 0.7880434782608695 Max: 0.8913043478260869
Procsessing: (70, 50) Accuracy: 0.8260869565217391 Max: 0.8913043478260869
Procsessing: (70, 60) Accuracy: 0.8097826086956522 Max: 0.8913043478260869
Procsessing: (70, 80) Accuracy: 0.8043478260869565 Max: 0.8913043478260869
Procsessing: (80, 10) Accuracy: 0.8260869565217391 Max: 0.8913043478260869
Procsessing: (80, 20) Accuracy: 0.782608695652174 Max: 0.8913043478260869
Procsessing: (80, 30) Accuracy: 0.8206521739130435 Max: 0.8913043478260869
Procsessing: (80, 40) Accuracy: 0.8097826086956522 Max: 0.8913043478260869
Procsessing: (80, 50) Accuracy: 0.7717391304347826 Max: 0.8913043478260869
Procsessing: (80, 60) Accuracy: 0.7989130434782609 Max: 0.8913043478260869
Procsessing: (80, 70) Accuracy: 0.8478260869565217 Max: 0.8913043478260869
Procsessing: (10, 20, 30) Accuracy: 0.8369565217391305 Max: 0.8913043478260869
Procsessing: (10, 20, 40) Accuracy: 0.8206521739130435 Max: 0.8913043478260869
Procsessing: (10, 20, 50) Accuracy: 0.8097826086956522 Max: 0.8913043478260869
Procsessing: (10, 20, 60) Accuracy: 0.7880434782608695 Max: 0.8913043478260869
Procsessing: (10, 20, 70) Accuracy: 0.8369565217391305 Max: 0.8913043478260869
Procsessing: (10, 20, 80) Accuracy: 0.842391304347826 Max: 0.8913043478260869
Procsessing: (10, 30, 20) Accuracy: 0.8097826086956522 Max: 0.8913043478260869
Procsessing: (10, 30, 40) Accuracy: 0.7989130434782609 Max: 0.8913043478260869
Procsessing: (10, 30, 50) Accuracy: 0.8097826086956522 Max: 0.8913043478260869
Procsessing: (10, 30, 60) Accuracy: 0.7663043478260869 Max: 0.8913043478260869
Procsessing: (10, 30, 70) Accuracy: 0.782608695652174 Max: 0.8913043478260869
Procsessing: (10, 30, 80) Accuracy: 0.8315217391304348 Max: 0.8913043478260869
Procsessing: (10, 40, 20) Accuracy: 0.8260869565217391 Max: 0.8913043478260869
Procsessing: (10, 40, 30) Accuracy: 0.8260869565217391 Max: 0.8913043478260869
Procsessing: (10, 40, 50) Accuracy: 0.8097826086956522 Max: 0.8913043478260869
Procsessing: (10, 40, 60) Accuracy: 0.7934782608695652 Max: 0.8913043478260869
Procsessing: (10, 40, 70) Accuracy: 0.8097826086956522 Max: 0.8913043478260869
Procsessing: (10, 40, 80) Accuracy: 0.7771739130434783 Max: 0.8913043478260869
Procsessing: (10, 50, 20) Accuracy: 0.8043478260869565 Max: 0.8913043478260869
Procsessing: (10, 50, 30) Accuracy: 0.7989130434782609 Max: 0.8913043478260869
Procsessing: (10, 50, 40) Accuracy: 0.8315217391304348 Max: 0.8913043478260869
Procsessing: (10, 50, 60) Accuracy: 0.7934782608695652 Max: 0.8913043478260869
Procsessing: (10, 50, 70) Accuracy: 0.8532608695652174 Max: 0.8913043478260869
Procsessing: (10, 50, 80) Accuracy: 0.7608695652173914 Max: 0.8913043478260869
Procsessing: (10, 60, 20) Accuracy: 0.8532608695652174 Max: 0.8913043478260869
Procsessing: (10, 60, 30) Accuracy: 0.842391304347826 Max: 0.8913043478260869
Procsessing: (10, 60, 40) Accuracy: 0.8315217391304348 Max: 0.8913043478260869
Procsessing: (10, 60, 50) Accuracy: 0.782608695652174 Max: 0.8913043478260869
Procsessing: (10, 60, 70) Accuracy: 0.8097826086956522 Max: 0.8913043478260869
Procsessing: (10, 60, 80) Accuracy: 0.8260869565217391 Max: 0.8913043478260869
Procsessing: (10, 70, 20) Accuracy: 0.8043478260869565 Max: 0.8913043478260869
Procsessing: (10, 70, 30) Accuracy: 0.7880434782608695 Max: 0.8913043478260869
Procsessing: (10, 70, 40) Accuracy: 0.875 Max: 0.8913043478260869
Procsessing: (10, 70, 50) Accuracy: 0.842391304347826 Max: 0.8913043478260869
Procsessing: (10, 70, 60) Accuracy: 0.8152173913043478 Max: 0.8913043478260869
Procsessing: (10, 70, 80) Accuracy: 0.7608695652173914 Max: 0.8913043478260869
Procsessing: (10, 80, 20) Accuracy: 0.8260869565217391 Max: 0.8913043478260869
Procsessing: (10, 80, 30) Accuracy: 0.842391304347826 Max: 0.8913043478260869
Procsessing: (10, 80, 40) Accuracy: 0.8206521739130435 Max: 0.8913043478260869
Procsessing: (10, 80, 50) Accuracy: 0.7989130434782609 Max: 0.8913043478260869
Procsessing: (10, 80, 60) Accuracy: 0.8206521739130435 Max: 0.8913043478260869
Procsessing: (10, 80, 70) Accuracy: 0.8478260869565217 Max: 0.8913043478260869
Procsessing: (20, 10, 30) Accuracy: 0.8097826086956522 Max: 0.8913043478260869
Procsessing: (20, 10, 40) Accuracy: 0.8152173913043478 Max: 0.8913043478260869
Procsessing: (20, 10, 50) Accuracy: 0.7934782608695652 Max: 0.8913043478260869
Procsessing: (20, 10, 60) Accuracy: 0.8043478260869565 Max: 0.8913043478260869
Procsessing: (20, 10, 70) Accuracy: 0.7391304347826086 Max: 0.8913043478260869
Procsessing: (20, 10, 80) Accuracy: 0.8260869565217391 Max: 0.8913043478260869
Procsessing: (20, 30, 10) Accuracy: 0.75 Max: 0.8913043478260869
Procsessing: (20, 30, 40) Accuracy: 0.7989130434782609 Max: 0.8913043478260869
Procsessing: (20, 30, 50) Accuracy: 0.7989130434782609 Max: 0.8913043478260869
Procsessing: (20, 30, 60) Accuracy: 0.8097826086956522 Max: 0.8913043478260869
Procsessing: (20, 30, 70) Accuracy: 0.7608695652173914 Max: 0.8913043478260869
Procsessing: (20, 30, 80) Accuracy: 0.7989130434782609 Max: 0.8913043478260869
Procsessing: (20, 40, 10) Accuracy: 0.7989130434782609 Max: 0.8913043478260869
Procsessing: (20, 40, 30) Accuracy: 0.7554347826086957 Max: 0.8913043478260869
Procsessing: (20, 40, 50) Accuracy: 0.8260869565217391 Max: 0.8913043478260869
Procsessing: (20, 40, 60) Accuracy: 0.7934782608695652 Max: 0.8913043478260869
Procsessing: (20, 40, 70) Accuracy: 0.8097826086956522 Max: 0.8913043478260869
