(10,),{'acc': 0.8913043478260869, 'precision': 0.9065420560747663, 'recall': 0.9065420560747663, 'f1': 0.9065420560747663}
(20,),{'acc': 0.7717391304347826, 'precision': 0.7570093457943925, 'recall': 0.8350515463917526, 'f1': 0.7941176470588236}
(40,),{'acc': 0.8206521739130435, 'precision': 0.7476635514018691, 'recall': 0.9302325581395349, 'f1': 0.8290155440414508}
(80,),{'acc': 0.8369565217391305, 'precision': 0.8037383177570093, 'recall': 0.9052631578947369, 'f1': 0.8514851485148515}
(160,),{'acc': 0.7989130434782609, 'precision': 0.7850467289719626, 'recall': 0.8571428571428571, 'f1': 0.8195121951219512}
(10, 10),{'acc': 0.8043478260869565, 'precision': 0.794392523364486, 'recall': 0.8585858585858586, 'f1': 0.8252427184466019}
(10, 20),{'acc': 0.7989130434782609, 'precision': 0.794392523364486, 'recall': 0.85, 'f1': 0.8212560386473431}
(10, 40),{'acc': 0.7391304347826086, 'precision': 0.6915887850467289, 'recall': 0.8314606741573034, 'f1': 0.7551020408163265}
(10, 80),{'acc': 0.7989130434782609, 'precision': 0.7570093457943925, 'recall': 0.8804347826086957, 'f1': 0.814070351758794}
(10, 160),{'acc': 0.842391304347826, 'precision': 0.8037383177570093, 'recall': 0.9148936170212766, 'f1': 0.8557213930348259}
(20, 10),{'acc': 0.782608695652174, 'precision': 0.7476635514018691, 'recall': 0.8602150537634409, 'f1': 0.7999999999999999}
(20, 20),{'acc': 0.8586956521739131, 'precision': 0.822429906542056, 'recall': 0.9263157894736842, 'f1': 0.8712871287128714}
(20, 40),{'acc': 0.7989130434782609, 'precision': 0.7570093457943925, 'recall': 0.8804347826086957, 'f1': 0.814070351758794}
(20, 80),{'acc': 0.8043478260869565, 'precision': 0.7850467289719626, 'recall': 0.865979381443299, 'f1': 0.8235294117647058}
(20, 160),{'acc': 0.7880434782608695, 'precision': 0.7663551401869159, 'recall': 0.8541666666666666, 'f1': 0.8078817733990148}
(40, 10),{'acc': 0.7989130434782609, 'precision': 0.7850467289719626, 'recall': 0.8571428571428571, 'f1': 0.8195121951219512}
(40, 20),{'acc': 0.8206521739130435, 'precision': 0.794392523364486, 'recall': 0.8854166666666666, 'f1': 0.8374384236453202}
(40, 40),{'acc': 0.7934782608695652, 'precision': 0.7757009345794392, 'recall': 0.8556701030927835, 'f1': 0.8137254901960783}
(40, 80),{'acc': 0.8206521739130435, 'precision': 0.8037383177570093, 'recall': 0.8775510204081632, 'f1': 0.8390243902439024}
(40, 160),{'acc': 0.8532608695652174, 'precision': 0.8130841121495327, 'recall': 0.925531914893617, 'f1': 0.8656716417910447}
(80, 10),{'acc': 0.8260869565217391, 'precision': 0.8130841121495327, 'recall': 0.8787878787878788, 'f1': 0.8446601941747572}
(80, 20),{'acc': 0.782608695652174, 'precision': 0.7570093457943925, 'recall': 0.8526315789473684, 'f1': 0.8019801980198019}
(80, 40),{'acc': 0.8097826086956522, 'precision': 0.7570093457943925, 'recall': 0.9, 'f1': 0.8223350253807106}
(80, 80),{'acc': 0.8097826086956522, 'precision': 0.7850467289719626, 'recall': 0.875, 'f1': 0.8275862068965517}
(80, 160),{'acc': 0.7934782608695652, 'precision': 0.7570093457943925, 'recall': 0.8709677419354839, 'f1': 0.81}
(160, 10),{'acc': 0.8260869565217391, 'precision': 0.7850467289719626, 'recall': 0.9032258064516129, 'f1': 0.84}
(160, 20),{'acc': 0.7608695652173914, 'precision': 0.7009345794392523, 'recall': 0.8620689655172413, 'f1': 0.7731958762886598}
(160, 40),{'acc': 0.8043478260869565, 'precision': 0.7570093457943925, 'recall': 0.8901098901098901, 'f1': 0.8181818181818181}
(160, 80),{'acc': 0.8260869565217391, 'precision': 0.8130841121495327, 'recall': 0.8787878787878788, 'f1': 0.8446601941747572}
(160, 160),{'acc': 0.8260869565217391, 'precision': 0.7757009345794392, 'recall': 0.9120879120879121, 'f1': 0.8383838383838383}
(10, 10, 10),{'acc': 0.8478260869565217, 'precision': 0.8317757009345794, 'recall': 0.898989898989899, 'f1': 0.8640776699029127}
(10, 10, 20),{'acc': 0.8206521739130435, 'precision': 0.7663551401869159, 'recall': 0.9111111111111111, 'f1': 0.8324873096446701}
(10, 10, 40),{'acc': 0.8315217391304348, 'precision': 0.822429906542056, 'recall': 0.88, 'f1': 0.8502415458937198}
(10, 10, 80),{'acc': 0.8152173913043478, 'precision': 0.7850467289719626, 'recall': 0.8842105263157894, 'f1': 0.8316831683168316}
(10, 10, 160),{'acc': 0.7771739130434783, 'precision': 0.7663551401869159, 'recall': 0.8367346938775511, 'f1': 0.7999999999999999}
(10, 20, 10),{'acc': 0.8478260869565217, 'precision': 0.8130841121495327, 'recall': 0.9157894736842105, 'f1': 0.8613861386138614}
(10, 20, 20),{'acc': 0.8315217391304348, 'precision': 0.7757009345794392, 'recall': 0.9222222222222223, 'f1': 0.8426395939086295}
(10, 20, 40),{'acc': 0.7989130434782609, 'precision': 0.794392523364486, 'recall': 0.85, 'f1': 0.8212560386473431}
(10, 20, 80),{'acc': 0.7989130434782609, 'precision': 0.7476635514018691, 'recall': 0.8888888888888888, 'f1': 0.8121827411167512}
(10, 20, 160),{'acc': 0.7989130434782609, 'precision': 0.7757009345794392, 'recall': 0.8645833333333334, 'f1': 0.8177339901477833}
(10, 40, 10),{'acc': 0.8206521739130435, 'precision': 0.794392523364486, 'recall': 0.8854166666666666, 'f1': 0.8374384236453202}
(10, 40, 20),{'acc': 0.8152173913043478, 'precision': 0.8130841121495327, 'recall': 0.8613861386138614, 'f1': 0.8365384615384616}
(10, 40, 40),{'acc': 0.7608695652173914, 'precision': 0.6915887850467289, 'recall': 0.8705882352941177, 'f1': 0.7708333333333334}
(10, 40, 80),{'acc': 0.782608695652174, 'precision': 0.7383177570093458, 'recall': 0.8681318681318682, 'f1': 0.797979797979798}
(10, 40, 160),{'acc': 0.8260869565217391, 'precision': 0.8130841121495327, 'recall': 0.8787878787878788, 'f1': 0.8446601941747572}
(10, 80, 10),{'acc': 0.8641304347826086, 'precision': 0.8785046728971962, 'recall': 0.8867924528301887, 'f1': 0.8826291079812206}
(10, 80, 20),{'acc': 0.8043478260869565, 'precision': 0.7757009345794392, 'recall': 0.8736842105263158, 'f1': 0.8217821782178217}
(10, 80, 40),{'acc': 0.782608695652174, 'precision': 0.8037383177570093, 'recall': 0.819047619047619, 'f1': 0.8113207547169811}
(10, 80, 80),{'acc': 0.8206521739130435, 'precision': 0.7757009345794392, 'recall': 0.9021739130434783, 'f1': 0.8341708542713568}
(10, 80, 160),{'acc': 0.8043478260869565, 'precision': 0.7850467289719626, 'recall': 0.865979381443299, 'f1': 0.8235294117647058}
(10, 160, 10),{'acc': 0.8043478260869565, 'precision': 0.7757009345794392, 'recall': 0.8736842105263158, 'f1': 0.8217821782178217}
(10, 160, 20),{'acc': 0.7934782608695652, 'precision': 0.7476635514018691, 'recall': 0.8791208791208791, 'f1': 0.808080808080808}
(10, 160, 40),{'acc': 0.8369565217391305, 'precision': 0.822429906542056, 'recall': 0.8888888888888888, 'f1': 0.8543689320388348}
(10, 160, 80),{'acc': 0.7989130434782609, 'precision': 0.7663551401869159, 'recall': 0.8723404255319149, 'f1': 0.8159203980099503}
(10, 160, 160),{'acc': 0.8043478260869565, 'precision': 0.7850467289719626, 'recall': 0.865979381443299, 'f1': 0.8235294117647058}
(20, 10, 10),{'acc': 0.8260869565217391, 'precision': 0.822429906542056, 'recall': 0.8712871287128713, 'f1': 0.8461538461538461}
(20, 10, 20),{'acc': 0.782608695652174, 'precision': 0.7476635514018691, 'recall': 0.8602150537634409, 'f1': 0.7999999999999999}
(20, 10, 40),{'acc': 0.7445652173913043, 'precision': 0.7009345794392523, 'recall': 0.8333333333333334, 'f1': 0.7614213197969543}
